,zipcode,Population,No_Married(%),Widowed(%),Divorced(%),Separated(%),Never_Married(%),No_Married,Widowed,Divorced,Separated,Never_Married,Number_Households,Precent_Distribution_Housesholds,Median_Income_Households
385,98686,15760,59.8,3.8,10.6,1.5,24.3,942448.0,59888.0,167056.0,23640.0,382968.0,7356,7356,78411
386,98801,34089,47.8,6.4,12.5,1.7,31.6,1629454.2,218169.6,426112.5,57951.3,1077212.4,15362,15362,55353
387,98802,23367,55.3,5.4,10.6,1.4,27.4,1292195.1,126181.8,247690.2,32713.8,640255.8,10861,10861,61895
388,98811,30,53.3,0.0,46.7,0.0,0.0,1599.0,0.0,1401.0,0.0,0.0,22,22,0
389,98812,3794,54.4,8.9,4.9,1.5,30.3,206393.6,33766.6,18590.6,5691.0,114958.2,1557,1557,41188
390,98813,2127,52.6,4.2,7.5,3.0,32.8,111880.2,8933.4,15952.5,6381.0,69765.6,885,885,44030
391,98814,396,62.9,6.6,14.6,0.0,15.9,24908.4,2613.6,5781.6,0.0,6296.4,248,248,46500
392,98815,6007,58.7,4.5,11.1,0.3,25.4,352610.9,27031.5,66677.7,1802.1,152577.8,2658,2658,60952
393,98816,5345,52.0,3.9,16.5,3.4,24.2,277940.0,20845.5,88192.5,18173.0,129349.0,2557,2557,49792
394,98817,122,57.4,0.0,28.7,0.0,13.9,7002.8,0.0,3501.4,0.0,1695.8,53,53,66250
395,98819,220,62.3,4.1,15.5,0.0,18.2,13706.0,902.0,3410.0,0.0,4004.0,146,146,31250
396,98821,251,56.2,0.0,0.0,0.0,43.8,14106.2,0.0,0.0,0.0,10993.8,182,182,0
397,98822,1634,57.2,5.3,16.8,3.0,17.7,93464.8,8660.2,27451.2,4902.0,28921.8,747,747,42284
398,98823,8759,56.0,6.2,11.8,0.3,25.8,490504.0,54305.8,103356.2,2627.7,225982.2,3880,3880,61636
399,98824,309,53.4,2.6,1.6,0.0,42.4,16500.6,803.4,494.4,0.0,13101.6,98,98,42500
400,98826,5970,62.9,6.5,11.1,0.7,18.8,375513.0,38805.0,66267.0,4179.0,112236.0,2963,2963,51942
401,98827,263,46.8,0.0,7.2,0.0,46.0,12308.4,0.0,1893.6,0.0,12098.0,79,79,0
402,98828,2070,58.8,5.5,10.0,0.6,25.1,121716.0,11385.0,20700.0,1242.0,51957.0,826,826,63793
403,98829,587,60.0,0.0,6.5,0.9,32.7,35220.0,0.0,3815.5,528.3,19194.9,258,258,50192
404,98830,468,69.4,2.8,15.0,0.0,12.8,32479.2,1310.4,7020.0,0.0,5990.4,266,266,54250
405,98831,2337,58.5,1.8,17.5,1.2,21.2,136714.5,4206.6,40897.5,2804.4,49544.4,1202,1202,68670
406,98832,228,57.5,6.1,4.4,0.0,32.0,13110.0,1390.8,1003.2,0.0,7296.0,87,87,97917
407,98833,133,73.7,0.0,12.0,0.0,14.3,9802.1,0.0,1596.0,0.0,1901.9,59,59,0
408,98834,144,41.0,6.9,18.1,0.0,34.0,5904.0,993.6,2606.4,0.0,4896.0,83,83,41563
409,98836,848,55.1,0.0,5.5,0.0,39.4,46724.8,0.0,4664.0,0.0,33411.2,254,254,67083
410,98837,31862,48.8,5.8,14.5,1.9,29.1,1554865.6,184799.6,461999.0,60537.8,927184.2,14792,14792,51977
411,98840,3711,47.9,6.8,15.4,1.4,28.6,177756.9,25234.8,57149.4,5195.4,106134.6,1913,1913,38393
412,98841,6953,55.2,6.4,12.5,2.6,23.3,383805.6,44499.2,86912.5,18077.8,162004.9,3690,3690,47938
413,98843,1510,62.2,4.0,6.6,0.7,26.4,93922.0,6040.0,9966.0,1057.0,39864.0,656,656,52292
414,98844,3972,56.2,5.7,14.8,0.9,22.4,223226.4,22640.4,58785.6,3574.8,88972.8,2117,2117,39915
415,98845,235,61.7,5.1,10.6,1.3,21.3,14499.5,1198.5,2491.0,305.5,5005.5,113,113,48250
416,98846,949,55.2,5.7,10.2,1.1,27.8,52384.8,5409.3,9679.8,1043.9,26382.2,479,479,42330
417,98847,1372,50.2,3.0,10.1,2.4,34.3,68874.4,4116.0,13857.2,3292.8,47059.6,582,582,43589
418,98848,8941,51.9,3.3,6.3,3.7,34.8,464037.9,29505.3,56328.3,33081.7,311146.8,3481,3481,55563
419,98849,976,59.5,8.9,15.6,0.9,15.1,58072.0,8686.4,15225.6,878.4,14737.6,501,501,50274
420,98850,1457,48.1,7.5,19.1,2.7,22.6,70081.7,10927.5,27828.7,3933.9,32928.2,659,659,47457
421,98851,3403,53.9,10.8,15.2,2.7,17.5,183421.7,36752.4,51725.6,9188.1,59552.5,1799,1799,40116
422,98852,7,85.7,0.0,0.0,0.0,14.3,599.9,0.0,0.0,0.0,100.1,5,5,33750
423,98853,16,87.5,0.0,12.5,0.0,0.0,1400.0,0.0,200.0,0.0,0.0,9,9,0
424,98855,4896,57.6,7.8,14.3,1.4,19.0,282009.6,38188.8,70012.8,6854.4,93024.0,2472,2472,40796
425,98856,2335,58.6,2.9,13.6,2.1,22.9,136831.0,6771.5,31756.0,4903.5,53471.5,1265,1265,36229
426,98857,2670,53.0,5.8,9.3,2.3,29.6,141510.0,15486.0,24831.0,6141.0,79032.0,1190,1190,44375
427,98858,1714,55.4,9.1,13.8,0.6,21.1,94955.6,15597.4,23653.2,1028.4,36165.4,856,856,43565
428,98859,155,46.5,11.6,0.0,0.0,41.9,7207.5,1798.0,0.0,0.0,6494.5,120,120,0
429,98860,263,41.8,16.0,19.4,5.7,17.1,10993.4,4208.0,5102.2,1499.1,4497.3,149,149,41875
430,98862,1785,65.6,5.8,13.3,2.4,12.8,117096.0,10353.0,23740.5,4284.0,22848.0,992,992,65603
431,98901,23195,40.4,4.8,13.8,2.4,38.7,937078.0,111336.0,320091.0,55668.0,897646.5,10124,10124,38579
